AMSF,57.24,1118000000.0,2.01,4,2,0,2,0,0,18.8,24.91,31.03
BDRSF,0.0,6300000.0,0,1,0,0,1,0,0,-100,-100,-100
MOD,14.03,740370000.0,0,2,2,0,0,0,0,42.55,46.12,49.68
NNRHF,0.0,0,0,10,6,0,3,0,1,-100,-100,-100
WTRG,51.36,12407000000.0,2.12,15,7,1,6,0,1,-12.38,3.19,36.29
CNYA,42.44,0,0,0,0,0,0,0,0,-100,-100,-100
WUYI,0.0,428000000.0,0,0,0,0,0,0,0,-100,-100,-100
GSISF,0.0,110170000.0,0,0,0,0,0,0,0,-100,-100,-100
ISHUF,102.18,0,0,0,0,0,0,0,0,-100,-100,-100
NPTH,0.004,0,0,0,0,0,0,0,0,-100,-100,-100
LSXMK,47.97,30160000000.0,0,6,6,0,0,0,0,8.4,27.16,62.6
NETGY,0.0,0,0,9,3,0,6,0,0,-100,-100,-100
UPBMF,0.0,0,0,1,0,0,1,0,0,-100,-100,-100
JNEXF,0.0,2380000.0,0,1,0,0,1,0,0,-100,-100,-100
ALKT,32.63,2682000000.0,0,7,6,0,1,0,0,22.59,53.23,90.01
SMVS,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
GSJY,37.4,0,1.45,0,0,0,0,0,0,-100,-100,-100
VTSYF,2.66,0,1.59,4,0,1,2,0,1,618.05,971.43,1114.29
EPCFF,0.0,814310000.0,0,2,2,0,0,0,0,-100,-100,-100
TINV,10.01,346380000.0,0,0,0,0,0,0,0,-100,-100,-100
NNI,76.36,2965000000.0,1.14,1,1,0,0,0,0,8.7,8.7,8.7
PLNBF,0.0,619860000.0,0,0,0,0,0,0,0,-100,-100,-100
YIPCF,0.0,365180000.0,4.39,1,1,0,0,0,0,-100,-100,-100
GZPZY,0.0,0,2.5,5,5,0,0,0,0,-100,-100,-100
TRYIF,0.0,0,1.26,12,4,1,6,1,0,-100,-100,-100
ASM,1.02,101800000.0,0,4,4,0,0,0,0,17.65,66.67,105.88
CAF,21.17,464950000.0,1.09,0,0,0,0,0,0,-100,-100,-100
SSHPF,0.0,434680000.0,0,1,1,0,0,0,0,-100,-100,-100
CNKYF,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
SBGOF,0.0,0,0,9,6,0,3,0,0,-100,-100,-100
MATW,33.98,1081000000.0,2.51,2,2,0,0,0,0,41.26,44.2,47.15
VSLU,26.72,0,0,0,0,0,0,0,0,-100,-100,-100
TSSLF,0.82,0,0,9,0,1,6,0,2,1851.22,2369.51,2887.8
PTOZF,0.0,5010000.0,0,0,0,0,0,0,0,-100,-100,-100
GMHLF,0.0,340020000.0,0,4,0,0,4,0,0,-100,-100,-100
HARP,9.83,307640000.0,0,10,7,1,2,0,0,22.08,210.27,306.92
MTUAY,124.27,0,0.63,23,5,0,14,0,4,28.75,77.84,107.61
XTRXF,14.05,0,0,0,0,0,0,0,0,-100,-100,-100
ENLBF,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
SKBSY,28.99,0,5.07,6,2,0,3,1,0,696.83,788.24,934.84
UNMA,27.57,0,5.67,13,1,0,11,0,1,-23.83,12.44,23.32
